"행정구역별(시군구)","주택의 종류별","항목","단위","2022 년","2023 년",
"서울특별시","계","주택_계","","100706","107681",
"서울특별시","계","(건축연도) 2023년","","","5931",
"서울특별시","계","(건축연도) 2022년","","6865","2693",
"서울특별시","계","(건축연도) 2021년","","3231","2278",
"서울특별시","계","(건축연도) 2020년","","1665","1951",
"서울특별시","계","(건축연도) 2019년","","1566","1870",
"서울특별시","계","(건축연도) 2018년","","1329","1722",
"서울특별시","계","(건축연도) 2017년","","1568","1763",
"서울특별시","계","(건축연도) 2016년","","1578","1916",
"서울특별시","계","(건축연도) 2015년","","1283","1566",
"서울특별시","계","(건축연도) 2014년","","1805","2105",
"서울특별시","계","(건축연도) 2013년","","2197","2314",
"서울특별시","계","(건축연도) 2012년","","2086","2441",
"서울특별시","계","(건축연도) 2011년","","2121","2219",
"서울특별시","계","(건축연도) 2010년","","1255","1341",
"서울특별시","계","(건축연도) 2005~2009년","","5705","6005",
"서울특별시","계","(건축연도) 2000~2004년","","15400","15743",
"서울특별시","계","(건축연도) 1990~1999년","","25373","26455",
"서울특별시","계","(건축연도) 1980~1989년","","18075","18076",
"서울특별시","계","(건축연도) 1979년 이전","","7604","9292",
"서울특별시","단독주택","주택_계","","3299","4270",
"서울특별시","단독주택","(건축연도) 2023년","","","X",
"서울특별시","단독주택","(건축연도) 2022년","","X","X",
"서울특별시","단독주택","(건축연도) 2021년","","X","X",
"서울특별시","단독주택","(건축연도) 2020년","","X","X",
"서울특별시","단독주택","(건축연도) 2019년","","X","X",
"서울특별시","단독주택","(건축연도) 2018년","","X","X",
"서울특별시","단독주택","(건축연도) 2017년","","X","X",
"서울특별시","단독주택","(건축연도) 2016년","","X","X",
"서울특별시","단독주택","(건축연도) 2015년","","X","X",
"서울특별시","단독주택","(건축연도) 2014년","","X","X",
"서울특별시","단독주택","(건축연도) 2013년","","X","X",
"서울특별시","단독주택","(건축연도) 2012년","","X","X",
"서울특별시","단독주택","(건축연도) 2011년","","X","X",
"서울특별시","단독주택","(건축연도) 2010년","","X","X",
"서울특별시","단독주택","(건축연도) 2005~2009년","","21","21",
"서울특별시","단독주택","(건축연도) 2000~2004년","","22","26",
"서울특별시","단독주택","(건축연도) 1990~1999년","","136","271",
"서울특별시","단독주택","(건축연도) 1980~1989년","","383","532",
"서울특별시","단독주택","(건축연도) 1979년 이전","","2723","3406",
"서울특별시","아파트","주택_계","","53654","55087",
"서울특별시","아파트","(건축연도) 2023년","","","5015",
"서울특별시","아파트","(건축연도) 2022년","","5746","988",
"서울특별시","아파트","(건축연도) 2021년","","999","985",
"서울특별시","아파트","(건축연도) 2020년","","743","842",
"서울특별시","아파트","(건축연도) 2019년","","876","803",
"서울특별시","아파트","(건축연도) 2018년","","546","673",
"서울특별시","아파트","(건축연도) 2017년","","765","829",
"서울특별시","아파트","(건축연도) 2016년","","475","628",
"서울특별시","아파트","(건축연도) 2015년","","583","680",
"서울특별시","아파트","(건축연도) 2014년","","1045","1166",
"서울특별시","아파트","(건축연도) 2013년","","878","826",
"서울특별시","아파트","(건축연도) 2012년","","624","881",
"서울특별시","아파트","(건축연도) 2011년","","1088","1144",
"서울특별시","아파트","(건축연도) 2010년","","741","718",
"서울특별시","아파트","(건축연도) 2005~2009년","","4102","4123",
"서울특별시","아파트","(건축연도) 2000~2004년","","7257","7259",
"서울특별시","아파트","(건축연도) 1990~1999년","","13764","13760",
"서울특별시","아파트","(건축연도) 1980~1989년","","10303","9600",
"서울특별시","아파트","(건축연도) 1979년 이전","","3119","4167",
"서울특별시","연립주택","주택_계","","5922","6537",
"서울특별시","연립주택","(건축연도) 2023년","","","130",
"서울특별시","연립주택","(건축연도) 2022년","","129","201",
"서울특별시","연립주택","(건축연도) 2021년","","191","104",
"서울특별시","연립주택","(건축연도) 2020년","","84","44",
"서울특별시","연립주택","(건축연도) 2019년","","39","37",
"서울특별시","연립주택","(건축연도) 2018년","","23","45",
"서울특별시","연립주택","(건축연도) 2017년","","8","9",
"서울특별시","연립주택","(건축연도) 2016년","","33","62",
"서울특별시","연립주택","(건축연도) 2015년","","10","11",
"서울특별시","연립주택","(건축연도) 2014년","","61","79",
"서울특별시","연립주택","(건축연도) 2013년","","72","68",
"서울특별시","연립주택","(건축연도) 2012년","","129","120",
"서울특별시","연립주택","(건축연도) 2011년","","26","24",
"서울특별시","연립주택","(건축연도) 2010년","","9","12",
"서울특별시","연립주택","(건축연도) 2005~2009년","","128","156",
"서울특별시","연립주택","(건축연도) 2000~2004년","","493","521",
"서울특별시","연립주택","(건축연도) 1990~1999년","","1919","2161",
"서울특별시","연립주택","(건축연도) 1980~1989년","","1983","2235",
"서울특별시","연립주택","(건축연도) 1979년 이전","","585","518",
"서울특별시","다세대주택","주택_계","","36317","40183",
"서울특별시","다세대주택","(건축연도) 2023년","","","786",
"서울특별시","다세대주택","(건축연도) 2022년","","989","1502",
