"행정구역","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~4세","2022년_거주자_5~9세","2022년_거주자_10~14세","2022년_거주자_15~19세","2022년_거주자_20~24세","2022년_거주자_25~29세","2022년_거주자_30~34세","2022년_거주자_35~39세","2022년_거주자_40~44세","2022년_거주자_45~49세","2022년_거주자_50~54세","2022년_거주자_55~59세","2022년_거주자_60~64세","2022년_거주자_65~69세","2022년_거주자_70~74세","2022년_거주자_75~79세","2022년_거주자_80~84세","2022년_거주자_85~89세","2022년_거주자_90~94세","2022년_거주자_95~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~4세","2022년_남_거주자_5~9세","2022년_남_거주자_10~14세","2022년_남_거주자_15~19세","2022년_남_거주자_20~24세","2022년_남_거주자_25~29세","2022년_남_거주자_30~34세","2022년_남_거주자_35~39세","2022년_남_거주자_40~44세","2022년_남_거주자_45~49세","2022년_남_거주자_50~54세","2022년_남_거주자_55~59세","2022년_남_거주자_60~64세","2022년_남_거주자_65~69세","2022년_남_거주자_70~74세","2022년_남_거주자_75~79세","2022년_남_거주자_80~84세","2022년_남_거주자_85~89세","2022년_남_거주자_90~94세","2022년_남_거주자_95~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~4세","2022년_여_거주자_5~9세","2022년_여_거주자_10~14세","2022년_여_거주자_15~19세","2022년_여_거주자_20~24세","2022년_여_거주자_25~29세","2022년_여_거주자_30~34세","2022년_여_거주자_35~39세","2022년_여_거주자_40~44세","2022년_여_거주자_45~49세","2022년_여_거주자_50~54세","2022년_여_거주자_55~59세","2022년_여_거주자_60~64세","2022년_여_거주자_65~69세","2022년_여_거주자_70~74세","2022년_여_거주자_75~79세","2022년_여_거주자_80~84세","2022년_여_거주자_85~89세","2022년_여_거주자_90~94세","2022년_여_거주자_95~99세","2022년_여_거주자_100세 이상","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~4세","2023년_거주자_5~9세","2023년_거주자_10~14세","2023년_거주자_15~19세","2023년_거주자_20~24세","2023년_거주자_25~29세","2023년_거주자_30~34세","2023년_거주자_35~39세","2023년_거주자_40~44세","2023년_거주자_45~49세","2023년_거주자_50~54세","2023년_거주자_55~59세","2023년_거주자_60~64세","2023년_거주자_65~69세","2023년_거주자_70~74세","2023년_거주자_75~79세","2023년_거주자_80~84세","2023년_거주자_85~89세","2023년_거주자_90~94세","2023년_거주자_95~99세","2023년_거주자_100세 이상","2023년_남_거주자_총인구수","2023년_남_거주자_연령구간인구수","2023년_남_거주자_0~4세","2023년_남_거주자_5~9세","2023년_남_거주자_10~14세","2023년_남_거주자_15~19세","2023년_남_거주자_20~24세","2023년_남_거주자_25~29세","2023년_남_거주자_30~34세","2023년_남_거주자_35~39세","2023년_남_거주자_40~44세","2023년_남_거주자_45~49세","2023년_남_거주자_50~54세","2023년_남_거주자_55~59세","2023년_남_거주자_60~64세","2023년_남_거주자_65~69세","2023년_남_거주자_70~74세","2023년_남_거주자_75~79세","2023년_남_거주자_80~84세","2023년_남_거주자_85~89세","2023년_남_거주자_90~94세","2023년_남_거주자_95~99세","2023년_남_거주자_100세 이상","2023년_여_거주자_총인구수","2023년_여_거주자_연령구간인구수","2023년_여_거주자_0~4세","2023년_여_거주자_5~9세","2023년_여_거주자_10~14세","2023년_여_거주자_15~19세","2023년_여_거주자_20~24세","2023년_여_거주자_25~29세","2023년_여_거주자_30~34세","2023년_여_거주자_35~39세","2023년_여_거주자_40~44세","2023년_여_거주자_45~49세","2023년_여_거주자_50~54세","2023년_여_거주자_55~59세","2023년_여_거주자_60~64세","2023년_여_거주자_65~69세","2023년_여_거주자_70~74세","2023년_여_거주자_75~79세","2023년_여_거주자_80~84세","2023년_여_거주자_85~89세","2023년_여_거주자_90~94세","2023년_여_거주자_95~99세","2023년_여_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~4세","2024년_거주자_5~9세","2024년_거주자_10~14세","2024년_거주자_15~19세","2024년_거주자_20~24세","2024년_거주자_25~29세","2024년_거주자_30~34세","2024년_거주자_35~39세","2024년_거주자_40~44세","2024년_거주자_45~49세","2024년_거주자_50~54세","2024년_거주자_55~59세","2024년_거주자_60~64세","2024년_거주자_65~69세","2024년_거주자_70~74세","2024년_거주자_75~79세","2024년_거주자_80~84세","2024년_거주자_85~89세","2024년_거주자_90~94세","2024년_거주자_95~99세","2024년_거주자_100세 이상","2024년_남_거주자_총인구수","2024년_남_거주자_연령구간인구수","2024년_남_거주자_0~4세","2024년_남_거주자_5~9세","2024년_남_거주자_10~14세","2024년_남_거주자_15~19세","2024년_남_거주자_20~24세","2024년_남_거주자_25~29세","2024년_남_거주자_30~34세","2024년_남_거주자_35~39세","2024년_남_거주자_40~44세","2024년_남_거주자_45~49세","2024년_남_거주자_50~54세","2024년_남_거주자_55~59세","2024년_남_거주자_60~64세","2024년_남_거주자_65~69세","2024년_남_거주자_70~74세","2024년_남_거주자_75~79세","2024년_남_거주자_80~84세","2024년_남_거주자_85~89세","2024년_남_거주자_90~94세","2024년_남_거주자_95~99세","2024년_남_거주자_100세 이상","2024년_여_거주자_총인구수","2024년_여_거주자_연령구간인구수","2024년_여_거주자_0~4세","2024년_여_거주자_5~9세","2024년_여_거주자_10~14세","2024년_여_거주자_15~19세","2024년_여_거주자_20~24세","2024년_여_거주자_25~29세","2024년_여_거주자_30~34세","2024년_여_거주자_35~39세","2024년_여_거주자_40~44세","2024년_여_거주자_45~49세","2024년_여_거주자_50~54세","2024년_여_거주자_55~59세","2024년_여_거주자_60~64세","2024년_여_거주자_65~69세","2024년_여_거주자_70~74세","2024년_여_거주자_75~79세","2024년_여_거주자_80~84세","2024년_여_거주자_85~89세","2024년_여_거주자_90~94세","2024년_여_거주자_95~99세","2024년_여_거주자_100세 이상"
"서울특별시  (1100000000)","9,355,332","9,355,332","227,566","317,214","361,546","385,373","576,263","807,989","754,847","662,491","724,034","711,070","791,540","681,814","708,637","574,414","405,470","302,934","218,230","100,927","34,172","7,628","1,173","4,532,400","4,532,400","117,496","162,239","185,697","196,902","271,641","390,126","377,970","330,494","359,773","349,621","390,768","333,523","337,943","268,015","186,402","134,836","92,359","35,578","9,176","1,606","235","4,822,932","4,822,932","110,070","154,975","175,849","188,471","304,622","417,863","376,877","331,997","364,261","361,449","400,772","348,291","370,694","306,399","219,068","168,098","125,871","65,349","24,996","6,022","938","9,314,535","9,314,535","212,965","300,142","354,071","377,113","553,124","797,698","774,150","645,003","730,337","675,679","783,566","692,658","697,835","603,498","414,092","319,307","227,533","109,615","36,469","8,366","1,314","4,503,033","4,503,033","109,598","153,614","181,882","192,516","259,484","381,328","388,149","321,615","361,965","333,608","386,166","337,815","333,837","281,527","189,750","141,993","96,411","39,627","10,100","1,769","279","4,811,502","4,811,502","103,367","146,528","172,189","184,597","293,640","416,370","386,001","323,388","368,372","342,071","397,400","354,843","363,998","321,971","224,342","177,314","131,122","69,988","26,369","6,597","1,035","9,261,703","9,261,703","202,840","280,531","351,127","367,658","528,792","774,778","792,831","641,652","702,473","667,942","766,228","701,107","684,012","627,733","433,642","334,838","233,611","119,502","39,702","9,364","1,340","4,469,100","4,469,100","103,883","144,009","180,344","187,456","247,141","366,386","397,993","320,024","348,797","327,780","377,924","342,573","328,067","292,282","198,991","148,381","99,287","44,076","11,293","2,127","286","4,792,603","4,792,603","98,957","136,522","170,783","180,202","281,651","408,392","394,838","321,628","353,676","340,162","388,304","358,534","355,945","335,451","234,651","186,457","134,324","75,426","28,409","7,237","1,054"
"서울특별시 종로구 (1111000000)","139,437","139,437","2,512","3,880","4,703","5,324","9,504","12,621","10,464","8,699","9,664","9,972","12,468","11,233","11,145","8,718","6,089","5,144","4,298","2,081","706","184","28","67,371","67,371","1,287","1,945","2,314","2,656","4,279","6,249","5,268","4,283","4,676","4,772","6,189","5,613","5,635","4,318","2,813","2,211","1,791","791","217","55","9","72,066","72,066","1,225","1,935","2,389","2,668","5,225","6,372","5,196","4,416","4,988","5,200","6,279","5,620","5,510","4,400","3,276","2,933","2,507","1,290","489","129","19","137,565","137,565","2,342","3,568","4,517","5,166","9,058","12,298","10,804","8,348","9,650","9,269","12,138","11,241","11,091","9,193","6,121","5,217","4,288","2,285","742","195","34","66,321","66,321","1,203","1,779","2,211","2,534","4,096","6,011","5,470","4,101","4,698","4,459","5,993","5,547","5,578","4,564","2,871","2,253","1,787","857","249","52","8","71,244","71,244","1,139","1,789","2,306","2,632","4,962","6,287","5,334","4,247","4,952","4,810","6,145","5,694","5,513","4,629","3,250","2,964","2,501","1,428","493","143","26","136,624","136,624","2,254","3,253","4,405","4,930","8,596","12,256","11,244","8,353","9,228","9,016","11,610","11,286","11,064","9,549","6,372","5,328","4,294","2,470","865","215","36","65,656","65,656","1,167","1,637","2,148","2,432","3,919","5,854","5,688","4,072","4,499","4,316","5,719","5,535","5,555","4,746","3,014","2,316","1,751","935","293","50","10","70,968","70,968","1,087","1,616","2,257","2,498","4,677","6,402","5,556","4,281","4,729","4,700","5,891","5,751","5,509","4,803","3,358","3,012","2,543","1,535","572","165","26"
"서울특별시 중구 (1114000000)","118,665","118,665","2,789","3,165","2,915","3,352","6,903","10,628","10,664","9,036","8,672","7,777","9,782","9,129","9,584","8,046","5,624","4,484","3,542","1,740","655","152","26","57,605","57,605","1,432","1,623","1,468","1,652","3,139","5,005","5,300","4,571","4,436","3,925","4,854","4,649","4,809","3,987","2,649","1,916","1,435","537","175","36","7","61,060","61,060","1,357","1,542","1,447","1,700","3,764","5,623","5,364","4,465","4,236","3,852","4,928","4,480","4,775","4,059","2,975","2,568","2,107","1,203","480","116","19","119,749","119,749","2,687","2,938","2,877","3,235","6,698","10,765","11,482","9,236","8,990","7,509","9,506","9,136","9,532","8,430","5,697","4,662","3,616","1,860","697","171","25","57,833","57,833","1,378","1,500","1,472","1,600","3,052","4,894","5,713","4,662","4,553","3,845","4,677","4,603","4,783","4,151","2,671","1,997","1,455","599","180","44","4","61,916","61,916","1,309","1,438","1,405","1,635","3,646","5,871","5,769","4,574","4,437","3,664","4,829","4,533","4,749","4,279","3,026","2,665","2,161","1,261","517","127","21","119,053","119,053","2,562","2,748","2,787","3,059","6,320","10,386","11,944","9,507","8,743","7,438","9,038","9,130","9,368","8,687","5,947","4,769","3,690","1,996","718","197","19","57,205","57,205","1,303","1,415","1,413","1,511","2,831","4,610","5,887","4,804","4,401","3,788","4,426","4,619","4,683","4,264","2,806","2,066","1,470","673","183","48","4","61,848","61,848","1,259","1,333","1,374","1,548","3,489","5,776","6,057","4,703","4,342","3,650","4,612","4,511","4,685","4,423","3,141","2,703","2,220","1,323","535","149","15"
"서울특별시 용산구 (1117000000)","215,127","215,127","5,494","6,439","6,637","7,468","12,458","19,121","20,542","17,127","16,664","15,263","18,581","15,803","15,888","12,527","8,441","6,738","5,624","2,995","1,062","218","37","103,441","103,441","2,825","3,263","3,386","3,810","5,668","8,994","10,195","8,477","8,340","7,438","9,073","7,779","7,835","6,051","3,874","2,799","2,220","1,036","321","53","4","111,686","111,686","2,669","3,176","3,251","3,658","6,790","10,127","10,347","8,650","8,324","7,825","9,508","8,024","8,053","6,476","4,567","3,939","3,404","1,959","741","165","33","209,747","209,747","5,068","5,995","6,330","7,151","11,547","18,345","20,550","16,482","16,539","14,201","17,754","15,681","15,680","12,935","8,491","6,848","5,531","3,202","1,114","251","52","100,690","100,690","2,604","3,041","3,265","3,608","5,199","8,539","10,212","8,219","8,283","6,932","8,592","7,720","7,711","6,250","3,884","2,880","2,232","1,104","341","64","10","109,057","109,057","2,464","2,954","3,065","3,543","6,348","9,806","10,338","8,263","8,256","7,269","9,162","7,961","7,969","6,685","4,607","3,968","3,299","2,098","773","187","42","200,682","200,682","4,728","5,498","6,101","6,681","10,575","17,027","20,413","16,001","15,511","13,327","16,439","15,392","14,853","12,970","8,477","6,688","5,293","3,235","1,161","264","48","95,904","95,904","2,413","2,776","3,183","3,358","4,689","7,835","10,023","7,850","7,828","6,423","7,874","7,600","7,335","6,232","3,922","2,882","2,114","1,112","368","72","15","104,778","104,778","2,315","2,722","2,918","3,323","5,886","9,192","10,390","8,151","7,683","6,904","8,565","7,792","7,518","6,738","4,555","3,806","3,179","2,123","793","192","33"
"서울특별시 성동구 (1120000000)","278,758","278,758","8,636","9,589","8,643","9,790","17,759","24,232","23,248","22,184","21,883","19,918","23,429","20,843","21,499","16,309","11,071","8,827","6,607","3,098","955","197","41","135,467","135,467","4,507","4,866","4,384","4,786","8,517","12,089","11,205","10,996","11,097","9,872","11,447","10,333","10,671","7,755","5,091","3,788","2,702","1,041","262","48","10","143,291","143,291","4,129","4,723","4,259","5,004","9,242","12,143","12,043","11,188","10,786","10,046","11,982","10,510","10,828","8,554","5,980","5,039","3,905","2,057","693","149","31","275,163","275,163","7,854","9,031","8,312","9,475","16,960","23,889","23,841","21,595","21,984","18,537","22,836","20,958","21,068","17,045","11,259","8,986","6,859","3,394","1,027","213","40","133,387","133,387","4,089","4,598","4,181","4,713","7,981","11,794","11,617","10,630","11,144","9,159","11,127","10,384","10,440","8,188","5,204","3,849","2,781","1,165","280","51","12","141,776","141,776","3,765","4,433","4,131","4,762","8,979","12,095","12,224","10,965","10,840","9,378","11,709","10,574","10,628","8,857","6,055","5,137","4,078","2,229","747","162","28","271,522","271,522","7,562","8,404","8,213","9,058","16,041","22,778","24,685","21,509","21,275","18,108","21,810","21,000","20,484","17,681","11,651","9,272","6,965","3,610","1,143","242","31","131,306","131,306","3,907","4,341","4,095","4,490","7,532","11,158","12,113","10,505","10,826","8,877","10,578","10,356","10,188","8,477","5,412","3,980","2,848","1,239","312","60","12","140,216","140,216","3,655","4,063","4,118","4,568","8,509","11,620","12,572","11,004","10,449","9,231","11,232","10,644","10,296","9,204","6,239","5,292","4,117","2,371","831","182","19"
"서울특별시 광진구 (1121500000)","334,978","334,978","6,762","9,673","11,498","12,920","23,935","36,137","30,569","23,855","24,527","24,205","27,777","24,781","24,992","19,165","12,928","9,658","7,073","3,200","1,041","242","40","161,294","161,294","3,465","4,993","5,905","6,420","10,917","17,088","15,315","11,803","12,012","11,880","13,443","12,115","12,038","9,075","5,952","4,350","3,047","1,119","288","57","12","173,684","173,684","3,297","4,680","5,593","6,500","13,018","19,049","15,254","12,052","12,515","12,325","14,334","12,666","12,954","10,090","6,976","5,308","4,026","2,081","753","185","28","333,004","333,004","6,289","8,911","11,232","12,528","22,800","35,892","31,399","23,247","24,665","22,894","27,209","25,234","24,670","20,303","13,193","10,229","7,320","3,552","1,126","272","39","159,930","159,930","3,181","4,601","5,741","6,237","10,437","16,788","15,769","11,496","11,990","11,279","13,155","12,284","11,913","9,566","6,097","4,588","3,137","1,276","319","64","12","173,074","173,074","3,108","4,310","5,491","6,291","12,363","19,104","15,630","11,751","12,675","11,615","14,054","12,950","12,757","10,737","7,096","5,641","4,183","2,276","807","208","27","329,478","329,478","5,835","8,252","10,890","12,050","21,707","35,027","32,070","23,004","23,590","22,423","26,222","25,316","24,192","21,312","13,977","10,601","7,513","3,896","1,261","300","40","157,942","157,942","2,962","4,234","5,600","5,985","9,780","16,415","16,023","11,418","11,516","10,984","12,735","12,200","11,749","9,981","6,446","4,769","3,217","1,471","373","73","11","171,536","171,536","2,873","4,018","5,290","6,065","11,927","18,612","16,047","11,586","12,074","11,439","13,487","13,116","12,443","11,331","7,531","5,832","4,296","2,425","888","227","29"
"서울특별시 동대문구 (1123000000)","334,154","334,154","8,142","10,485","10,807","11,859","25,554","30,458","25,288","23,021","24,601","23,323","26,763","24,121","25,874","21,438","15,362","12,264","9,096","4,146","1,243","254","55","164,365","164,365","4,093","5,407","5,585","5,957","11,486","15,527","12,941","11,919","12,725","11,924","13,452","12,231","12,701","10,295","7,018","5,395","3,794","1,492","363","50","10","169,789","169,789","4,049","5,078","5,222","5,902","14,068","14,931","12,347","11,102","11,876","11,399","13,311","11,890","13,173","11,143","8,344","6,869","5,302","2,654","880","204","45","338,731","338,731","7,940","10,352","10,773","11,774","25,643","31,036","26,571","22,630","25,557","22,676","27,068","24,765","25,554","22,503","15,565","12,648","9,512","4,496","1,336","277","55","166,012","166,012","4,016","5,280","5,572","5,883","11,332","15,575","13,705","11,622","13,095","11,710","13,589","12,502","12,587","10,782","7,232","5,463","3,970","1,650","379","58","10","172,719","172,719","3,924","5,072","5,201","5,891","14,311","15,461","12,866","11,008","12,462","10,966","13,479","12,263","12,967","11,721","8,333","7,185","5,542","2,846","957","219","45","336,395","336,395","7,493","9,675","10,652","11,560","24,962","30,394","27,366","22,510","24,536","22,300","26,202","25,049","24,800","23,313","16,231","12,992","9,633","4,819","1,544","315","49","164,328","164,328","3,819","4,886","5,521","5,761","11,023","14,972","14,041","11,485","12,615","11,431","13,177","12,607","12,285","11,190","7,564","5,642","3,974","1,793","458","73","11","172,067","172,067","3,674","4,789","5,131","5,799","13,939","15,422","13,325","11,025","11,921","10,869","13,025","12,442","12,515","12,123","8,667","7,350","5,659","3,026","1,086","242","38"
"서울특별시 중랑구 (1126000000)","383,029","383,029","9,106","11,225","11,821","12,967","20,674","31,474","30,957","26,509","27,944","26,327","32,873","32,167","34,559","26,919","18,349","13,543","9,734","4,185","1,343","313","40","188,205","188,205","4,655","5,737","6,047","6,614","10,046","15,235","15,719","13,733","14,739","13,428","16,244","15,811","16,828","12,879","8,541","6,016","4,071","1,465","320","70","7","194,824","194,824","4,451","5,488","5,774","6,353","10,628","16,239","15,238","12,776","13,205","12,899","16,629","16,356","17,731","14,040","9,808","7,527","5,663","2,720","1,023","243","33","380,154","380,154","8,518","10,585","11,526","12,398","19,442","30,480","31,656","25,918","28,037","24,708","31,669","32,445","34,283","28,613","18,846","14,325","10,223","4,611","1,458","367","46","186,190","186,190","4,291","5,442","5,932","6,319","9,223","14,702","15,957","13,374","14,695","12,760","15,760","15,781","16,663","13,739","8,803","6,339","4,267","1,707","360","69","7","193,964","193,964","4,227","5,143","5,594","6,079","10,219","15,778","15,699","12,544","13,342","11,948","15,909","16,664","17,620","14,874","10,043","7,986","5,956","2,904","1,098","298","39","377,311","377,311","7,965","9,821","11,242","11,989","18,203","29,245","32,385","25,645","26,908","24,511","30,338","32,434","33,641","30,087","20,100","15,039","10,592","5,105","1,633","376","52","184,320","184,320","4,031","5,024","5,795","6,121","8,585","13,837","16,363","13,229","14,007","12,697","15,167","15,752","16,328","14,425","9,468","6,634","4,435","1,903","428","82","9","192,991","192,991","3,934","4,797","5,447","5,868","9,618","15,408","16,022","12,416","12,901","11,814","15,171","16,682","17,313","15,662","10,632","8,405","6,157","3,202","1,205","294","43"
"서울특별시 성북구 (1129000000)","427,473","427,473","10,629","15,234","17,002","19,063","31,514","33,692","29,200","28,186","32,114","33,323","38,356","31,037","31,360","25,434","18,187","14,532","11,384","5,123","1,697","360","46","205,472","205,472","5,488","7,726","8,688","9,647","14,224","16,822","14,695","13,999","15,854","16,160","19,027","15,208","14,853","11,797","8,115","6,127","4,677","1,833","465","59","8","222,001","222,001","5,141","7,508","8,314","9,416","17,290","16,870","14,505","14,187","16,260","17,163","19,329","15,829","16,507","13,637","10,072","8,405","6,707","3,290","1,232","301","38","422,728","422,728","9,795","14,281","16,454","18,458","31,469","33,023","29,158","26,708","32,064","30,833","38,150","31,945","30,701","26,685","18,412","15,023","11,755","5,580","1,757","425","52","202,704","202,704","5,048","7,307","8,371","9,367","14,143","16,188","14,800","13,176","15,889","15,021","18,759","15,720","14,565","12,368","8,240","6,304","4,837","2,003","508","77","13","220,024","220,024","4,747","6,974","8,083","9,091","17,326","16,835","14,358","13,532","16,175","15,812","19,391","16,225","16,136","14,317","10,172","8,719","6,918","3,577","1,249","348","39","418,793","418,793","9,244","13,235","16,079","17,794","30,854","32,458","29,279","26,303","30,475","29,946","37,160","32,767","30,375","27,692","19,002","15,542","11,962","6,141","1,959","469","57","200,606","200,606","4,728","6,798","8,196","9,049","13,686","15,912","14,837","12,999","15,212","14,547","18,200","16,228","14,424","12,844","8,634","6,485","4,922","2,212","585","92","16","218,187","218,187","4,516","6,437","7,883","8,745","17,168","16,546","14,442","13,304","15,263","15,399","18,960","16,539","15,951","14,848","10,368","9,057","7,040","3,929","1,374","377","41"
"서울특별시 강북구 (1130500000)","291,344","291,344","5,068","7,702","9,318","10,671","17,680","22,030","18,887","16,805","20,106","21,514","26,197","23,859","25,638","21,248","16,232","13,021","9,782","4,092","1,191","264","39","141,327","141,327","2,603","3,942","4,781","5,379","8,219","11,066","9,828","8,864","10,526","10,893","13,025","11,667","12,120","9,863","7,090","5,468","4,014","1,568","344","56","11","150,017","150,017","2,465","3,760","4,537","5,292","9,461","10,964","9,059","7,941","9,580","10,621","13,172","12,192","13,518","11,385","9,142","7,553","5,768","2,524","847","208","28","285,969","285,969","4,544","7,011","8,994","10,110","16,783","21,246","18,947","15,842","19,700","19,802","25,434","24,104","25,286","22,106","16,147","13,507","10,240","4,538","1,297","289","42","138,350","138,350","2,328","3,610","4,679","5,058","7,650","10,508","9,935","8,373","10,326","10,042","12,728","11,742","12,027","10,298","7,067","5,640","4,166","1,724","375","62","12","147,619","147,619","2,216","3,401","4,315","5,052","9,133","10,738","9,012","7,469","9,374","9,760","12,706","12,362","13,259","11,808","9,080","7,867","6,074","2,814","922","227","30","281,508","281,508","4,187","6,354","8,555","9,811","15,960","20,127","19,212","15,182","18,509","19,037","24,759","24,284","24,630","22,993","16,696","13,911","10,508","5,015","1,394","346","38","135,665","135,665","2,088","3,294","4,434","4,934","7,129","9,790","10,016","8,043","9,738","9,703","12,423","11,772","11,806","10,743","7,384","5,759","4,252","1,851","423","75","8","145,843","145,843","2,099","3,060","4,121","4,877","8,831","10,337","9,196","7,139","8,771","9,334","12,336","12,512","12,824","12,250","9,312","8,152","6,256","3,164","971","271","30"
