원본일련번호,시도 코드, 시도 이름, 시도 영문이름, 시군구 코드, 시군구 이름, 시군구 영문이름, 기준연도,시군구 코드
1,11,서울특별시,Seoul,11110,Jongno-gu,Jongno-gu,2020,11010
2,11,서울특별시,Seoul,11140,Jung-gu,Jung-gu,2020,11020
3,11,서울특별시,Seoul,11170,Yongsan-gu,Yongsan-gu,2020,11030
4,11,서울특별시,Seoul,11200,Seongdong-gu,Seongdong-gu,2020,11040
5,11,서울특별시,Seoul,11215,Gwangjin-gu,Gwangjin-gu,2020,11050
6,11,서울특별시,Seoul,11230,Dongdaemun-gu,Dongdaemun-gu,2020,11060
7,11,서울특별시,Seoul,11260,Jungnang-gu,Jungnang-gu,2020,11070
8,11,서울특별시,Seoul,11290,Seongbuk-gu,Seongbuk-gu,2020,11080
9,11,서울특별시,Seoul,11305,Gangbuk-gu,Gangbuk-gu,2020,11090
10,11,서울특별시,Seoul,11320,Dobong-gu,Dobong-gu,2020,11100
11,11,서울특별시,Seoul,11350,Nowon-gu,Nowon-gu,2020,11110
12,11,서울특별시,Seoul,11380,Eunpyeong-gu,Eunpyeong-gu,2020,11120
13,11,서울특별시,Seoul,11410,Seodaemun-gu,Seodaemun-gu,2020,11130
14,11,서울특별시,Seoul,11440,Mapo-gu,Mapo-gu,2020,11140
15,11,서울특별시,Seoul,11470,Yangcheon-gu,Yangcheon-gu,2020,11150
16,11,서울특별시,Seoul,11500,Gangseo-gu,Gangseo-gu,2020,11160
17,11,서울특별시,Seoul,11530,Guro-gu,Guro-gu,2020,11170
18,11,서울특별시,Seoul,11545,Geumcheon-gu,Geumcheon-gu,2020,11180
19,11,서울특별시,Seoul,11560,Yeongdeungpo-gu,Yeongdeungpo-gu,2020,11190
20,11,서울특별시,Seoul,11590,Dongjak-gu,Dongjak-gu,2020,11200
21,11,서울특별시,Seoul,11620,Gwanak-gu,Gwanak-gu,2020,11210
22,11,서울특별시,Seoul,11650,Seocho-gu,Seocho-gu,2020,11220
23,11,서울특별시,Seoul,11680,Gangnam-gu,Gangnam-gu,2020,11230
24,11,서울특별시,Seoul,11710,Songpa-gu,Songpa-gu,2020,11240
25,11,서울특별시,Seoul,11740,Gangdong-gu,Gangdong-gu,2020,11250
26,26,부산광역시,Busan,26110,Jung-gu,Jung-gu,2020,21010
27,26,부산광역시,Busan,26140,Seo-gu,Seo-gu,2020,21020
28,26,부산광역시,Busan,26170,Dong-gu,Dong-gu,2020,21030
29,26,부산광역시,Busan,26200,Yeongdo-gu,Yeongdo-gu,2020,21040
30,26,부산광역시,Busan,26230,Busanjin-gu,Busanjin-gu,2020,21050
31,26,부산광역시,Busan,26260,Dongnae-gu,Dongnae-gu,2020,21060
32,26,부산광역시,Busan,26290,Nam-gu,Nam-gu,2020,21070
33,26,부산광역시,Busan,26320,Buk-gu,Buk-gu,2020,21080
34,26,부산광역시,Busan,26350,Haeundae-gu,Haeundae-gu,2020,21090
35,26,부산광역시,Busan,26380,Saha-gu,Saha-gu,2020,21100
36,26,부산광역시,Busan,26410,Geumjeong-gu,Geumjeong-gu,2020,21110
37,26,부산광역시,Busan,26440,Gangseo-gu,Gangseo-gu,2020,21120
38,26,부산광역시,Busan,26470,Yeonje-gu,Yeonje-gu,2020,21130
39,26,부산광역시,Busan,26500,Suyeong-gu,Suyeong-gu,2020,21140
40,26,부산광역시,Busan,26530,Sasang-gu,Sasang-gu,2020,21150
42,27,대구광역시,Daegu,27110,Jung-gu,Jung-gu,2020,22010
43,27,대구광역시,Daegu,27140,Dong-gu,Dong-gu,2020,22020
41,26,부산광역시,Busan,26710,Gijang-gun,Gijang-gun,2020,21310
56,28,인천광역시,Incheon,28245,Gyeyang-gu,Gyeyang-gu,2020,23070
44,27,대구광역시,Daegu,27170,Seo-gu,Seo-gu,2020,22030
57,28,인천광역시,Incheon,28260,Seo-gu,Seo-gu,2020,23080
58,28,인천광역시,Incheon,28710,Ganghwa-gun,Ganghwa-gun,2020,23310
60,29,광주광역시,Gwangju,29110,Dong-gu,Dong-gu,2020,24010
61,29,광주광역시,Gwangju,29140,Seo-gu,Seo-gu,2020,24020
62,29,광주광역시,Gwangju,29155,Nam-gu,Nam-gu,2020,24030
63,29,광주광역시,Gwangju,29170,Buk-gu,Buk-gu,2020,24040
64,29,광주광역시,Gwangju,29200,Gwangsan-gu,Gwangsan-gu,2020,24050
65,30,대전광역시,Daejeon,30110,Dong-gu,Dong-gu,2020,25010
66,30,대전광역시,Daejeon,30140,Jung-gu,Jung-gu,2020,25020
67,30,대전광역시,Daejeon,30170,Seo-gu,Seo-gu,2020,25030
68,30,대전광역시,Daejeon,30200,Yuseong-gu,Yuseong-gu,2020,25040
69,30,대전광역시,Daejeon,30230,Daedeok-gu,Daedeok-gu,2020,25050
70,31,울산광역시,Ulsan,31110,Jung-gu,Jung-gu,2020,26010
71,31,울산광역시,Ulsan,31140,Nam-gu,Nam-gu,2020,26020
72,31,울산광역시,Ulsan,31170,Dong-gu,Dong-gu,2020,26030
73,31,울산광역시,Ulsan,31200,Buk-gu,Buk-gu,2020,26040
74,31,울산광역시,Ulsan,31710,Ulju-gun,Ulju-gun,2020,26310
75,36,세종특별자치시,Sejong-si,36110,Sejong-si,Sejong-si,2020,29010
76,41,경기도,Gyeonggi-do,41110,Suwon-si,Suwon-si,2020,31010
77,41,경기도,Gyeonggi-do,41130,Seongnam-si,Seongnam-si,2020,31020
78,41,경기도,Gyeonggi-do,41150,Uijeongbu-si,Uijeongbu-si,2020,31030
80,41,경기도,Gyeonggi-do,41190,Bucheon-si,Bucheon-si,2020,31050
81,41,경기도,Gyeonggi-do,41210,Gwangmyeong-si,Gwangmyeong-si,2020,31060
82,41,경기도,Gyeonggi-do,41220,Pyeongtaek-si,Pyeongtaek-si,2020,31070
83,41,경기도,Gyeonggi-do,41250,Dongducheon-si,Dongducheon-si,2020,31080
84,41,경기도,Gyeonggi-do,41270,Ansan-si,Ansan-si,2020,31090
85,41,경기도,Gyeonggi-do,41280,Goyang-si,Goyang-si,2020,31100
86,41,경기도,Gyeonggi-do,41290,Gwacheon-si,Gwacheon-si,2020,31110
87,41,경기도,Gyeonggi-do,41310,Guri-si,Guri-si,2020,31120
45,27,대구광역시,Daegu,27200,Nam-gu,Nam-gu,2020,22040
88,41,경기도,Gyeonggi-do,41360,Namyangju-si,Namyangju-si,2020,31130
89,41,경기도,Gyeonggi-do,41370,Osan-si,Osan-si,2020,31140
90,41,경기도,Gyeonggi-do,41390,Siheung-si,Siheung-si,2020,31150
91,41,경기도,Gyeonggi-do,41410,Gunpo-si,Gunpo-si,2020,31160
92,41,경기도,Gyeonggi-do,41430,Uiwang-si,Uiwang-si,2020,31170
93,41,경기도,Gyeonggi-do,41450,Hanam-si,Hanam-si,2020,31180
94,41,경기도,Gyeonggi-do,41460,Yongin-si,Yongin-si,2020,31190
95,41,경기도,Gyeonggi-do,41480,Paju-si,Paju-si,2020,31200
96,41,경기도,Gyeonggi-do,41500,Icheon-si,Icheon-si,2020,31210
97,41,경기도,Gyeonggi-do,41550,Anseong-si,Anseong-si,2020,31220
98,41,경기도,Gyeonggi-do,41570,Gimpo-si,Gimpo-si,2020,31230
99,41,경기도,Gyeonggi-do,41590,Hwaseong-si,Hwaseong-si,2020,31240
100,41,경기도,Gyeonggi-do,41610,Gwangju-si,Gwangju-si,2020,31250
101,41,경기도,Gyeonggi-do,41630,Yangju-si,Yangju-si,2020,31260
102,41,경기도,Gyeonggi-do,41650,Pocheon-si,Pocheon-si,2020,31270
103,41,경기도,Gyeonggi-do,41670,Yeoju-si,Yeoju-si,2020,31280
105,41,경기도,Gyeonggi-do,41820,Gapyeong-gun,Gapyeong-gun,2020,31370
106,41,경기도,Gyeonggi-do,41830,Yangpyeong-gun,Yangpyeong-gun,2020,31380
107,42,강원도,Gangwon-do,42110,Chuncheon-si,Chuncheon-si,2020,32010
