,도시레벨,연도,20~39세_여성,65세_이상_전체,지역소멸지수,소멸위험도
0,강원특별자치도 강릉시,2023,19644,103184,0.19037835323305938,0.17830368710060107
1,강원특별자치도 고성군,2023,1985,17508,0.11337674206077222,0.3508025380128737
2,강원특별자치도 동해시,2023,7166,41584,0.17232589457483646,0.2049107039465613
3,강원특별자치도 삼척시,2023,5089,35986,0.14141610626354695,0.26624092737903354
4,강원특별자치도 속초시,2023,7515,36880,0.20376898047722342,0.1616130384382995
5,강원특별자치도 양구군,2023,1851,10542,0.17558338076266364,0.19970503474080809
6,강원특별자치도 양양군,2023,1739,18766,0.09266759032292443,0.44611252277125824
7,강원특별자치도 영월군,2023,2279,25304,0.09006481188744862,0.4611918552392982
8,강원특별자치도 원주시,2023,41860,128630,0.3254295265490166,0.07290097774725525
9,강원특별자치도 인제군,2023,2810,15224,0.1845769837099317,0.18628663604367135
10,강원특별자치도 정선군,2023,1948,22468,0.08670108598896208,0.4820208757881863
11,강원특별자치도 철원군,2023,3475,22154,0.1568565496072944,0.23258309320792925
12,강원특별자치도 춘천시,2023,33611,116900,0.287519247219846,0.09249217784410947
13,강원특별자치도 태백시,2023,2586,22572,0.11456671982987772,0.3463727358688453
14,강원특별자치도 평창군,2023,2390,26962,0.08864327572138565,0.4698014934756566
15,강원특별자치도 홍천군,2023,4768,42530,0.11210909945920526,0.3556249012730983
16,강원특별자치도 화천군,2023,2020,12252,0.16487104146261836,0.2175980884195035
17,강원특별자치도 횡성군,2023,2720,32008,0.0849787553111722,0.49332428804025086
18,경기도 가평군,2023,4825,37298,0.12936350474556277,0.29809742912148735
19,경기도 고양시,8092,275202,687776,0.4001331828967571,0.04516086201270539
20,경기도 과천시,2023,10716,23328,0.4593621399176955,0.029579613618937253
21,경기도 광명시,2023,33829,93256,0.36275413914386206,0.05761286380643184
22,경기도 광주시,2023,44278,127554,0.3471314110102388,0.06361185905667467
23,경기도 구리시,2023,23064,61758,0.3734576896920237,0.05379252381573739
24,경기도 군포시,2023,32627,86802,0.3758784359807378,0.05295867293768024
25,경기도 김포시,2023,57736,142668,0.40468780665601256,0.04380080926431007
26,경기도 남양주시,2023,81632,242660,0.3364048462869859,0.06805338735372336
27,경기도 동두천시,2023,8514,42504,0.20031055900621117,0.16571001931035084
28,경기도 부천시,2023,99287,267482,0.37119133250087855,0.05458305145429017
