,도시레벨,다세대주택,단독주택,폐가지수,페가지수_scaled,연도
0,경기도 평택시,7439.0,2049.0,3666.0,0.5452517290101883,2023
1,경상남도 창원시,822.0,5494.0,4092.3999999999996,0.6086710790510895,2023
2,경상북도 경주시,866.0,5672.0,4230.2,0.6291663568082101,2023
3,경상북도 포항시,1691.0,4886.0,3927.5,0.5841451624897748,2023
4,부산광역시 남구,4419.0,3281.0,3622.3999999999996,0.5387670112292705,2023
5,전라남도 고흥군,274.0,5110.0,3659.2,0.5442403510076598,2023
6,전라남도 순천시,515.0,4773.0,3495.6,0.5199077861232989,2023
7,전라남도 여수시,496.0,5289.0,3851.1,0.5727820331672493,2023
8,제주특별자치도 제주시,5103.0,7418.0,6723.499999999999,1.0,2023
9,충청북도 청주시,940.0,4512.0,3440.3999999999996,0.511697776455715,2023
