,region,region_code,visitors,시도 이름,결합행정구역,visitors_scaled
0,가평군,41820,42095966.5,경기도,경기도 가평군,0.09424278882063564
1,강남구,11680,406361721.5,서울특별시,서울특별시 강남구,1.0
2,강동구,11740,148226932.0,서울특별시,서울특별시 강동구,0.35814046795068
3,강릉시,51150,100094361.5,,,0.23845745568680643
4,강북구,11305,84903997.5,서울특별시,서울특별시 강북구,0.2006861814328228
5,강서구,11500,172582301.5,서울특별시,서울특별시 강서구,0.4187007903327907
6,강서구,26440,70039662.0,부산광역시,부산광역시 강서구,0.16372558636257134
7,강진군,46810,13947094.0,전라남도,전라남도 강진군,0.02424981280387143
8,강화군,28710,36263027.5,인천광역시,인천광역시 강화군,0.07973901928122518
9,거제시,48310,107176051.5,경상남도,경상남도 거제시,0.25606628027927136
10,거창군,48880,20006469.0,경상남도,경상남도 거창군,0.03931662192923091
11,경산시,47290,85436540.0,경상북도,경상북도 경산시,0.20201036358009733
12,경주시,47130,111444606.0,경상북도,경상북도 경주시,0.266680163046503
13,계룡시,44250,14612787.0,충청남도,충청남도 계룡시,0.02590507747507728
14,계양구,28245,75037417.0,인천광역시,인천광역시 계양구,0.17615264701491767
15,고령군,47830,11655903.0,경상북도,경상북도 고령군,0.018552700896002795
16,고성군,48820,19861604.0,경상남도,경상남도 고성군,0.038956410966228094
17,고성군,51820,21487431.0,,,0.0429990762707943
18,고양시 덕양구,41281,162091835.5,,,0.3926159467873634
19,고양시 일산동구,41285,131666496.5,,,0.3169624717528333
20,고양시 일산서구,41287,99164047.5,,,0.23614420333575542
21,고창군,52790,21860909.0,,,0.043927739992468726
22,고흥군,46770,16960002.5,전라남도,전라남도 고흥군,0.03174149590347711
23,곡성군,46720,10877800.5,전라남도,전라남도 곡성군,0.01661792679018082
24,공주시,44150,44755364.5,충청남도,충청남도 공주시,0.10085545795802402
25,과천시,41290,42722785.0,경기도,경기도 과천시,0.09580139093648819
26,관악구,11620,137192604.5,서울특별시,서울특별시 관악구,0.3307032972409607
27,광명시,41210,90226598.0,경기도,경기도 광명시,0.21392097970558904
28,광산구,29200,128228929.5,광주광역시,광주광역시 광산구,0.3084148631554723
29,광양시,46230,42338908.5,전라남도,전라남도 광양시,0.0948468710473559
30,광주시,41610,122072454.0,경기도,경기도 광주시,0.2931066108615555
31,광진구,11215,147095049.5,서울특별시,서울특별시 광진구,0.3553260097631879
32,괴산군,43760,17408601.0,충청북도,충청북도 괴산군,0.03285694889548083
33,구례군,46730,11571017.5,전라남도,전라남도 구례군,0.018341630674072202
34,구로구,11530,135264769.5,서울특별시,서울특별시 구로구,0.3259096804124615
35,구리시,41310,94063235.0,경기도,경기도 구리시,0.22346088726409002
36,구미시,47190,102314310.0,경상북도,경상북도 구미시,0.243977421082186
37,군산시,52130,97597710.0,,,0.2322494603732564
38,군위군,27720,11246571.0,,,0.017534885178556416
39,군포시,41410,81290849.5,경기도,경기도 군포시,0.19170198566054025
40,금산군,44710,23859853.5,충청남도,충청남도 금산군,0.048898172625155625
41,금정구,26410,74188695.0,부산광역시,부산광역시 금정구,0.1740422755039131
42,금천구,11545,63578158.0,서울특별시,서울특별시 금천구,0.14765887198514022
43,기장군,26710,76815616.5,부산광역시,부산광역시 기장군,0.18057419089581456
44,김제시,52210,27815536.0,,,0.058734090221941565
45,김천시,47150,41319159.0,경상북도,경상북도 김천시,0.0923112347693271
46,김포시,41570,160477569.0,경기도,경기도 김포시,0.3886020269964671
47,김해시,48250,151262051.5,경상남도,경상남도 김해시,0.36568737933661605
48,나주시,46170,43343657.0,전라남도,전라남도 나주시,0.09734520691012907
49,남구,26290,80759948.5,부산광역시,부산광역시 남구,0.19038188514993276
50,남구,27200,53248716.5,대구광역시,대구광역시 남구,0.12197442046133337
51,남구,29155,49456582.0,광주광역시,광주광역시 남구,0.11254516964104408
52,남구,31140,117522762.0,울산광역시,울산광역시 남구,0.28179367166515734
53,남동구,28200,136720139.5,인천광역시,인천광역시 남동구,0.3295284995145594
54,남양주시,41360,213858344.0,경기도,경기도 남양주시,0.521334849752735
55,남원시,52190,29380550.5,,,0.0626255435071269
56,남해군,48840,17572135.0,경상남도,경상남도 남해군,0.033263580860577326
57,노원구,11350,170191640.5,서울특별시,서울특별시 노원구,0.41275634342689016
58,논산시,44230,42708358.0,충청남도,충청남도 논산시,0.09576551778863854
59,단양군,43800,15690867.5,충청북도,충청북도 단양군,0.028585755451811204
60,달서구,27290,165483962.0,대구광역시,대구광역시 달서구,0.401050566282703
61,달성군,27710,74083068.5,대구광역시,대구광역시 달성군,0.17377963219266734
62,담양군,46710,25812979.5,전라남도,전라남도 담양군,0.053754676248017205
63,당진시,44270,65579111.5,충청남도,충청남도 당진시,0.15263430005374795
64,대덕구,30230,54570726.0,대전광역시,대전광역시 대덕구,0.12526163486849778
65,도봉구,11320,79334566.5,서울특별시,서울특별시 도봉구,0.18683763206694592
66,동구,26170,49824138.0,부산광역시,부산광역시 동구,0.11345910814045708
67,동구,27140,128943237.5,대구광역시,대구광역시 동구,0.3101910104136824
68,동구,28140,18917685.5,인천광역시,인천광역시 동구,0.036609330637085956
69,동구,29110,59695475.0,광주광역시,광주광역시 동구,0.13800446973156155
