행정구역,소멸위험,폐가,방문자,가중치점수,최종점수
전라남도 고흥군,0.8229045949371969,0.4891558841651263,0.0317414959034771,5.550249131277886,99.99999999999999
경상남도 합천군,0.8570770552090359,0.3776956253850894,0.0278864118285935,5.390585740371854,97.27673660973765
경상북도 의성군,0.87512283189355,0.2848120764017252,0.0332816827886528,5.196768705884272,93.97093913522528
경상남도 남해군,0.753431178299349,0.4375539125077018,0.0332635808605773,5.046554048159273,91.40883597718806
경상북도 청도군,0.768226018986754,0.3520024645717806,0.035183908235339,4.861953580413772,88.2602388392725
경상북도 봉화군,0.8585391599473432,0.1301293900184842,0.0121632946734458,4.670920675118722,85.0019282498924
경상남도 산청군,0.7565271483210152,0.2404497843499692,0.0224041906938214,4.481580903961162,81.7724962292641
경상북도 청송군,0.7960693477860558,0.1069008009858287,0.0168998034000068,4.284149338487758,78.40504830469676
경상북도 영덕군,0.7163326381880073,0.2400492914356131,0.0389718672278925,4.262839198018983,78.04157659680779
전라남도 보성군,0.7245853743580444,0.2184842883548983,0.0260451411435616,4.252334595711355,77.86240716584871
경상남도 하동군,0.7121710906597194,0.2107825015403573,0.0262447497119944,4.166958208207675,76.40620365443476
충청남도 서천군,0.6580964771103197,0.2788971041281577,0.049064144678198,4.078109553257874,74.89077617963407
경상남도 의령군,0.7091434081011301,0.1632162661737523,0.0143465960677547,4.021019242959152,73.91702790150357
경상북도 영양군,0.7455030289348226,0.0896179913739987,0.0014986133705522,3.9948705054255567,73.47102773062704
충청북도 괴산군,0.7220122874923952,0.1128465804066543,0.0328569488954808,3.915744229786458,72.12142787287014
전라남도 신안군,0.7221233514867089,0.1083487369069624,0.0233325672214446,3.9123304009329876,72.06320065444191
충청북도 보은군,0.6495304943371553,0.1653419593345656,0.0232425188321189,3.720435830857354,68.79019326989588
경상남도 고성군,0.5638573779369787,0.2953789279112754,0.038956410966228,3.6664672624524917,67.8696902934288
전라남도 함평군,0.6304447135911043,0.175200246457178,0.01699166198214,3.6608326453449154,67.77358469025869
경상남도 창녕군,0.5731322794160352,0.2689155884165126,0.0426736244908365,3.6297345378388775,67.24316668274264
경상남도 함양군,0.5849122045097387,0.2435304990757855,0.0264199728946254,3.6287325468814244,67.22607644511007
충청남도 부여군,0.5908820983482361,0.2287122612446087,0.0616687608769851,3.5788785145980215,66.3757521459459
인천광역시 강화군,0.5083200677467747,0.361275415896488,0.0797390192812251,3.5456875671421124,65.80963807570174
경상북도 상주시,0.4625121280325713,0.3824091189155884,0.0763957063027267,3.3833922906068947,63.04148450904614
전라남도 해남군,0.5057838220442321,0.2926678989525569,0.0425957687944116,3.3643270382844195,62.71630224039153
전라남도 구례군,0.5833523792407225,0.1484288354898336,0.0183416306740722,3.343706771999041,62.36459721926067
전라남도 강진군,0.5159255177340797,0.2366913123844732,0.0242498128038714,3.2654517130199467,61.029857076193
전라남도 완도군,0.5255514248073645,0.2215341959334565,0.0342856783802415,3.2580740334569507,60.904021312935164
전라남도 곡성군,0.5593740262217005,0.1536968576709796,0.0166179267901808,3.2413427773312606,60.61864833531245
충청북도 단양군,0.568155429292833,0.1210412815773259,0.0285857554518112,3.1753152357443315,59.492464144106506
경상북도 성주군,0.5788248947815474,0.1036968576709796,0.031061707584291,3.174153339336385,59.472646514447746
경상남도 밀양시,0.4046449515515628,0.3893099199014171,0.0845332975263271,3.106621219935738,58.32079982381318
충청남도 금산군,0.5094247084701218,0.2011706715958102,0.0488981726251556,3.101737384512884,58.237499762755654
전라남도 장흥군,0.5232681045836696,0.1691004313000616,0.0262931897752965,3.097348627043236,58.16264388954633
충청남도 청양군,0.5496751476389053,0.1198089956869994,0.0163022483108137,3.091500476944711,58.06289620804152
충청북도 영동군,0.5213490336615602,0.165033887861984,0.0346093373730918,3.067237494520661,57.64906000301641
충청남도 태안군,0.5278324435795285,0.1690696241528034,0.0828023093569553,3.063568780999098,57.58648540049833
경상북도 고령군,0.5459233811560027,0.0994146642020948,0.0185527008960027,3.0093081974902955,56.66100173285683
전라남도 진도군,0.5002936750312156,0.131022797288971,0.0171669895989715,2.8773697774240192,54.41062318899259
제주특별자치도 제주시,0.062862982772614,1.0,0.5577446153356385,2.7565702985274316,52.35023353689348
경기도 양평군,0.2998210656737196,0.4632162661737524,0.1362011434726879,2.752552983417167,52.28171308831193
경상북도 문경시,0.4040498554393657,0.2397104128157732,0.050154019993945,2.689226495650203,51.201598825480296
충청남도 예산군,0.4014278337293685,0.2318237831176833,0.0734357277597775,2.629174790240115,50.17734016519443
충청북도 옥천군,0.4424016944522135,0.1537892791127541,0.0472548917784497,2.62612141782088,50.125260992386224
경상북도 경주시,0.226039622586318,0.5775723967960567,0.266680163046503,2.5962351402732566,49.61551229511246
전라남도 장성군,0.4020722514659797,0.1711337030191004,0.0367967726211679,2.4869655937660315,47.75178039022749
전라남도 담양군,0.3842893866198274,0.2014479359211337,0.0537546762480172,2.472036064614521,47.49713817110982
