행정구역,,행정구역,소멸위험,폐가,방문자,가중치점수,최종점수,메인 캐릭터
전라남도,고흥군,전라남도 고흥군,0.822904595,0.489155884,0.031741496,5.550249131,100,흥이
경상남도,합천군,경상남도 합천군,0.857077055,0.377695625,0.027886412,5.39058574,97.27673661,별쿵
경상북도,의성군,경상북도 의성군,0.875122832,0.284812076,0.033281683,5.196768706,93.97093914,의동이
경상남도,남해군,경상남도 남해군,0.753431178,0.437553913,0.033263581,5.046554048,91.40883598,해랑이
경상북도,청도군,경상북도 청도군,0.768226019,0.352002465,0.035183908,4.86195358,88.26023884,카우&붕가
경상북도,봉화군,경상북도 봉화군,0.85853916,0.13012939,0.012163295,4.670920675,85.00192825,솔봉이&솔향이
경상남도,산청군,경상남도 산청군,0.756527148,0.240449784,0.022404191,4.481580904,81.77249623,천왕이
경상북도,청송군,경상북도 청송군,0.796069348,0.106900801,0.016899803,4.284149338,78.4050483,청이&송이
경상북도,영덕군,경상북도 영덕군,0.716332638,0.240049291,0.038971867,4.262839198,78.0415766,키니&토리
전라남도,보성군,전라남도 보성군,0.724585374,0.218484288,0.026045141,4.252334596,77.86240717,의돌이&다향이
경상남도,하동군,경상남도 하동군,0.712171091,0.210782502,0.02624475,4.166958208,76.40620365,다사돌
충청남도,서천군,충청남도 서천군,0.658096477,0.278897104,0.049064145,4.078109553,74.89077618,서래새
경상남도,의령군,경상남도 의령군,0.709143408,0.163216266,0.014346596,4.021019243,73.9170279,홍의장군
경상북도,영양군,경상북도 영양군,0.745503029,0.089617991,0.001498613,3.994870505,73.47102773,반딧불이
충청북도,괴산군,충청북도 괴산군,0.722012287,0.11284658,0.032856949,3.91574423,72.12142787,꺽정이&운총이
전라남도,신안군,전라남도 신안군,0.722123351,0.108348737,0.023332567,3.912330401,72.06320065,홍도리
충청북도,보은군,충청북도 보은군,0.649530494,0.165341959,0.023242519,3.720435831,68.79019327,정이&송이
경상남도,고성군,경상남도 고성군,0.563857378,0.295378928,0.038956411,3.666467262,67.86969029,"고룡이
금강누리"
전라남도,함평군,전라남도 함평군,0.630444714,0.175200246,0.016991662,3.660832645,67.77358469,소
경상남도,창녕군,경상남도 창녕군,0.573132279,0.268915588,0.042673624,3.629734538,67.24316668,화왕동자
경상남도,함양군,경상남도 함양군,0.584912205,0.243530499,0.026419973,3.628732547,67.22607645,물레동자&신비
충청남도,부여군,충청남도 부여군,0.590882098,0.228712261,0.061668761,3.578878515,66.37575215,"금동이, 금용이, 금황이"
인천광역시,강화군,인천광역시 강화군,0.508320068,0.361275416,0.079739019,3.545687567,65.80963808,
경상북도,상주시,경상북도 상주시,0.462512128,0.382409119,0.076395706,3.383392291,63.04148451,감돌이&감순이
전라남도,해남군,전라남도 해남군,0.505783822,0.292667899,0.042595769,3.364327038,62.71630224,땅끝이&희망이
전라남도,구례군,전라남도 구례군,0.583352379,0.148428835,0.018341631,3.343706772,62.36459722,산유&수유
전라남도,강진군,전라남도 강진군,0.515925518,0.236691312,0.024249813,3.265451713,61.02985708,강도령&진낭자
전라남도,완도군,전라남도 완도군,0.525551425,0.221534196,0.034285678,3.258074033,60.90402131,X
전라남도,곡성군,전라남도 곡성군,0.559374026,0.153696858,0.016617927,3.241342777,60.61864834,심청&심학규
충청북도,단양군,충청북도 단양군,0.568155429,0.121041282,0.028585755,3.175315236,59.49246414,온달&평강
경상북도,성주군,경상북도 성주군,0.578824895,0.103696858,0.031061708,3.174153339,59.47264651,참별이
경상남도,밀양시,경상남도 밀양시,0.404644952,0.38930992,0.084533298,3.10662122,58.32079982,밀양아리랑
충청남도,금산군,충청남도 금산군,0.509424708,0.201170672,0.048898173,3.101737385,58.23749976,삼신령&삼동이
전라남도,장흥군,전라남도 장흥군,0.523268105,0.169100431,0.02629319,3.097348627,58.16264389,표동이
충청남도,청양군,충청남도 청양군,0.549675148,0.119808996,0.016302248,3.091500477,58.06289621,고추도령&구기낭자
충청북도,영동군,충청북도 영동군,0.521349034,0.165033888,0.034609337,3.067237495,57.64906,우리&소리
충청남도,태안군,충청남도 태안군,0.527832444,0.169069624,0.082802309,3.063568781,57.5864854,태랑이
경상북도,고령군,경상북도 고령군,0.545923381,0.099414664,0.018552701,3.009308197,56.66100173,X
전라남도,진도군,전라남도 진도군,0.500293675,0.131022797,0.01716699,2.877369777,54.41062319,진도개
경기도,양평군,경기도 양평군,0.299821066,0.463216266,0.136201143,2.752552983,52.28171309,물사랑이&행복이
경상북도,문경시,경상북도 문경시,0.404049855,0.239710413,0.05015402,2.689226496,51.20159883,"문희, 경서"
충청남도,예산군,충청남도 예산군,0.401427834,0.231823783,0.073435728,2.62917479,50.17734017,예돌이
충청북도,옥천군,충청북도 옥천군,0.442401694,0.153789279,0.047254892,2.626121418,50.12526099,송글이&송알이
경상북도,경주시,경상북도 경주시,0.226039623,0.577572397,0.266680163,2.59623514,49.6155123,금이&관이
전라남도,장성군,전라남도 장성군,0.402072251,0.171133703,0.036796773,2.486965594,47.75178039,단풍동자
전라남도,담양군,전라남도 담양군,0.384289387,0.201447936,0.053754676,2.472036065,47.49713817,대돌이&딸리
경상북도,울진군,경상북도 울진군,0.36489836,0.22775724,0.0406354,2.46712812,47.4134269,피오
경상남도,거창군,경상남도 거창군,0.35222444,0.246919285,0.039316622,2.462563433,47.33557033,아림&아름
경상남도,함안군,경상남도 함안군,0.389783081,0.180499076,0.049900819,2.440511812,46.95945171,우돌이
경상북도,예천군,경상북도 예천군,0.346831472,0.226093654,0.036453349,2.375984971,45.8588639,효동이&효심이
경상북도,안동시,경상북도 안동시,0.229526982,0.453635243,0.140907828,2.367632812,45.71640713,양반&연이낭자
인천광역시,옹진군,인천광역시 옹진군,0.414416532,0.062600123,0.014847567,2.245035461,43.62535248,X
부산광역시,영도구,부산광역시 영도구,0.292630963,0.29017252,0.093097807,2.24057457,43.54926627,부기
경기도,가평군,경기도 가평군,0.298097429,0.275046211,0.094242789,2.221382989,43.2219293,갓평이와 송송이
충청남도,논산시,충청남도 논산시,0.303209262,0.258471965,0.095765518,2.195696689,42.7838166,먹보딸기
경상북도,영천시,경상북도 영천시,0.350391893,0.169963031,0.067877948,2.19397061,42.75437611,별이&빛이
부산광역시,남구,부산광역시 남구,0.127058947,0.575508318,0.190381885,2.171437805,42.37005029,부기
전라남도,여수시,전라남도 여수시,0.153516921,0.519377696,0.199265929,2.126451765,41.60275583,구키&구니
경상북도,영주시,경상북도 영주시,0.332052083,0.174892175,0.07303162,2.111905322,41.35464764,영주도령
