,행정구역,철도(통행량),고속버스(통행량),시외버스(통행량),통행량,총통행량
0,인천광역시 강화군,0.0,0.0,0.0,210598.0,210598.0
1,경상북도 상주시,0.0,77336.0,46316.0,23.0,123675.0
2,충청남도 부여군,0.0,0.0,97479.0,0.0,97479.0
3,충청북도 단양군,60944.0,4220.0,27816.0,0.0,92980.0
4,충청북도 괴산군,0.0,45332.0,24816.0,0.0,70148.0
5,충청남도 서천군,60353.0,0.0,7818.0,0.0,68171.0
6,경상남도 함양군,0.0,0.0,54769.0,0.0,54769.0
7,경상남도 산청군,0.0,0.0,51458.0,0.0,51458.0
8,경상남도 남해군,0.0,0.0,33528.0,0.0,33528.0
9,전라남도 곡성군,28242.0,3875.0,0.0,0.0,32117.0
10,전라남도 구례군,0.0,0.0,31892.0,0.0,31892.0
11,경상남도 하동군,0.0,0.0,28903.0,0.0,28903.0
12,경상남도 고성군,0.0,0.0,28019.0,0.0,28019.0
13,전라남도 고흥군,0.0,25284.0,0.0,0.0,25284.0
14,경상북도 의성군,6328.0,1633.0,14180.0,3.0,22144.0
15,경상남도 창녕군,0.0,0.0,18529.0,0.0,18529.0
16,전라남도 해남군,0.0,16700.0,1678.0,0.0,18378.0
17,경상북도 봉화군,0.0,0.0,18292.0,14.0,18306.0
18,충청북도 보은군,0.0,9012.0,8948.0,2.0,17962.0
19,경상북도 영덕군,0.0,2705.0,12057.0,0.0,14762.0
20,전라남도 강진군,0.0,14108.0,0.0,0.0,14108.0
21,전라남도 완도군,0.0,14036.0,0.0,0.0,14036.0
22,경상남도 합천군,0.0,0.0,7415.0,0.0,7415.0
23,전라남도 함평군,5724.0,1264.0,0.0,0.0,6988.0
24,경상북도 청송군,0.0,0.0,5888.0,0.0,5888.0
25,전라남도 보성군,0.0,4948.0,0.0,0.0,4948.0
26,경상북도 청도군,4451.0,0.0,0.0,0.0,4451.0
27,경상남도 의령군,0.0,0.0,3778.0,0.0,3778.0
28,전라남도 신안군,0.0,2664.0,0.0,0.0,2664.0
29,경상북도 영양군,0.0,0.0,2544.0,0.0,2544.0
