,행정구역,연도,20~39세_여성,65세_이상_전체,지방소멸지수
0,강원도,2022,149573,698136,0.2142462213666105
1,강원도 강릉시,2022,20298,98942,0.20515049220755593
2,강원도 고성군,2022,1945,16996,0.11443869145681337
3,강원도 동해시,2022,7521,39840,0.18878012048192772
4,강원도 삼척시,2022,5279,34888,0.1513127722999312
5,강원도 속초시,2022,7880,34998,0.22515572318418195
6,강원도 양구군,2022,1954,10126,0.19296859569425243
7,강원도 양양군,2022,1846,18004,0.10253277049544546
8,강원도 영월군,2022,2389,24318,0.09823998684102311
9,강원도 원주시,2022,42681,121178,0.3522173991978742
10,강원도 인제군,2022,2907,14524,0.20015147342329936
11,강원도 정선군,2022,2097,21668,0.09677865977478309
12,강원도 철원군,2022,3680,21282,0.17291607931585376
13,강원도 춘천시,2022,33930,111296,0.304862708453134
14,강원도 태백시,2022,2732,21900,0.12474885844748858
15,강원도 평창군,2022,2472,25748,0.09600745688985553
16,강원도 홍천군,2022,4964,40270,0.12326794139557984
17,강원도 화천군,2022,2113,11802,0.17903745127944415
18,강원도 횡성군,2022,2885,30356,0.0950388720516537
19,강원특별자치도,2023,145456,731454,0.19885871155260618
20,강원특별자치도,2024,141971,768140,0.1848243809722186
21,강원특별자치도 강릉시,2023,19644,103184,0.19037835323305938
22,강원특별자치도 강릉시,2024,19040,108340,0.17574303119808013
23,강원특별자치도 고성군,2023,1985,17508,0.11337674206077222
24,강원특별자치도 고성군,2024,1925,18210,0.1057111477210324
25,강원특별자치도 동해시,2023,7166,41584,0.17232589457483646
26,강원특별자치도 동해시,2024,6968,43648,0.1596407624633431
27,강원특별자치도 삼척시,2023,5089,35986,0.14141610626354695
28,강원특별자치도 삼척시,2024,4920,37370,0.13165640888413166
29,강원특별자치도 속초시,2023,7515,36880,0.20376898047722342
30,강원특별자치도 속초시,2024,7270,38764,0.18754514497987823
31,강원특별자치도 양구군,2023,1851,10542,0.17558338076266364
32,강원특별자치도 양구군,2024,1780,10960,0.1624087591240876
33,강원특별자치도 양양군,2023,1739,18766,0.09266759032292443
34,강원특별자치도 양양군,2024,1680,19382,0.08667836136621608
35,강원특별자치도 영월군,2023,2279,25304,0.09006481188744862
36,강원특별자치도 영월군,2024,2152,26228,0.08204971785877688
37,강원특별자치도 원주시,2023,41860,128630,0.3254295265490166
38,강원특별자치도 원주시,2024,41253,137444,0.3001440586711679
39,강원특별자치도 인제군,2023,2810,15224,0.1845769837099317
40,강원특별자치도 인제군,2024,2724,15962,0.17065530635258738
41,강원특별자치도 정선군,2023,1948,22468,0.08670108598896208
42,강원특별자치도 정선군,2024,1811,23336,0.07760541652382585
43,강원특별자치도 철원군,2023,3475,22154,0.1568565496072944
44,강원특별자치도 철원군,2024,3294,22936,0.14361702127659576
45,강원특별자치도 춘천시,2023,33611,116900,0.287519247219846
46,강원특별자치도 춘천시,2024,33350,122392,0.2724851297470423
47,강원특별자치도 태백시,2023,2586,22572,0.11456671982987772
48,강원특별자치도 태백시,2024,2369,23564,0.10053471397046342
49,강원특별자치도 평창군,2023,2390,26962,0.08864327572138565
50,강원특별자치도 평창군,2024,2296,28282,0.08118237748391204
51,강원특별자치도 홍천군,2023,4768,42530,0.11210909945920526
52,강원특별자치도 홍천군,2024,4549,44758,0.10163546181688189
53,강원특별자치도 화천군,2023,2020,12252,0.16487104146261836
54,강원특별자치도 화천군,2024,1960,12742,0.15382200596452678
55,강원특별자치도 횡성군,2023,2720,32008,0.0849787553111722
56,강원특별자치도 횡성군,2024,2630,33822,0.07776003784518952
57,경기도,2022,1719536,3966462,0.4335188387031062
58,경기도,2023,1690840,4225394,0.40016149973233267
59,경기도,2024,1679198,4517234,0.3717314622178085
60,경기도 가평군,2022,4902,35546,0.13790581218702527
61,경기도 가평군,2023,4825,37298,0.12936350474556277
62,경기도 가평군,2024,4830,39512,0.12224134440170074
63,경기도 고양시,2022,139929,324108,0.4317357177237217
64,경기도 고양시,2023,137601,343888,0.4001331828967571
65,경기도 고양시,2024,135497,366432,0.3697739280412191
66,경기도 고양시 덕양구,2022,64742,156222,0.4144230646131787
67,경기도 고양시 덕양구,2023,65075,164864,0.3947192837732919
68,경기도 고양시 덕양구,2024,63667,174574,0.36469921064992494
69,경기도 고양시 일산동구,2022,39334,84038,0.4680501677812418
70,경기도 고양시 일산동구,2023,37934,89786,0.422493484507607
71,경기도 고양시 일산동구,2024,38311,96596,0.3966106256987867
72,경기도 고양시 일산서구,2022,35853,83848,0.42759517221639154
73,경기도 고양시 일산서구,2023,34592,89238,0.38763755350859497
74,경기도 고양시 일산서구,2024,33519,95262,0.35186118284310636
75,경기도 과천시,2022,10572,22082,0.47876098179512727
76,경기도 과천시,2023,10716,23328,0.4593621399176955
77,경기도 과천시,2024,11435,25398,0.4502323017560438
78,경기도 광명시,2022,35445,89762,0.3948775651166418
79,경기도 광명시,2023,33829,93256,0.36275413914386206
80,경기도 광명시,2024,33536,98814,0.3393851073734491
81,경기도 광주시,2022,46302,118434,0.39095192258979683
82,경기도 광주시,2023,44278,127554,0.3471314110102388
83,경기도 광주시,2024,44067,137752,0.3199009814739532
84,경기도 구리시,2022,23790,58118,0.4093396193950239
85,경기도 구리시,2023,23064,61758,0.3734576896920237
86,경기도 구리시,2024,23004,65990,0.3485982724655251
87,경기도 군포시,2022,34191,81140,0.42138279516884397
88,경기도 군포시,2023,32627,86802,0.3758784359807378
89,경기도 군포시,2024,31395,92672,0.338775466160221
90,경기도 김포시,2022,60242,133070,0.45270910047343504
91,경기도 김포시,2023,57736,142668,0.40468780665601256
92,경기도 김포시,2024,56108,152506,0.3679068364523363
93,경기도 남양주시,2022,84639,229210,0.3692639937175516
94,경기도 남양주시,2023,81632,242660,0.3364048462869859
95,경기도 남양주시,2024,80718,257976,0.31288957112289517
96,경기도 동두천시,2022,9211,40720,0.2262033398821218
97,경기도 동두천시,2023,8514,42504,0.20031055900621117
98,경기도 동두천시,2024,7993,44668,0.1789424196292648
99,경기도 부천시,2022,102912,250238,0.4112564838273963
100,경기도 부천시,2023,99287,267482,0.37119133250087855
101,경기도 부천시,2024,95774,287270,0.33339367145890625
102,경기도 부천시 소사구,2024,26940,89778,0.30007351466951815
103,경기도 부천시 오정구,2024,17180,60994,0.2816670492179559
104,경기도 부천시 원미구,2024,51654,136498,0.37842312707878506
105,경기도 성남시,2022,123734,287690,0.43009489380930865
106,경기도 성남시,2023,121602,303680,0.40042808219178083
107,경기도 성남시,2024,119551,320406,0.3731234745916119
108,경기도 성남시 분당구,2022,65086,132978,0.4894493826046414
109,경기도 성남시 분당구,2023,62626,139010,0.4505143514855046
110,경기도 성남시 분당구,2024,61918,146272,0.4233072631809232
111,경기도 성남시 수정구,2022,30503,81246,0.37544002166260493
112,경기도 성남시 수정구,2023,31299,86686,0.36106176314514454
113,경기도 성남시 수정구,2024,30885,91748,0.3366285913589397
114,경기도 성남시 중원구,2022,28145,73466,0.3831023874989791
115,경기도 성남시 중원구,2023,27677,77984,0.3549061345917111
116,경기도 성남시 중원구,2024,26748,82386,0.32466681232248196
117,경기도 송탄출장소,2022,0,0,
118,경기도 송탄출장소,2023,0,0,
119,경기도 송탄출장소,2024,0,0,
120,경기도 수원시,2022,170460,292888,0.5819972139520909
121,경기도 수원시,2023,170341,313204,0.5438659787231326
122,경기도 수원시,2024,168709,335056,0.5035247839167184
123,경기도 수원시 권선구,2022,51292,93182,0.5504496576592046
124,경기도 수원시 권선구,2023,50635,100108,0.5058037319694729
125,경기도 수원시 권선구,2024,49469,108144,0.4574363811214677
126,경기도 수원시 영통구,2022,55812,60020,0.9298900366544485
127,경기도 수원시 영통구,2023,56054,64392,0.870511864827929
128,경기도 수원시 영통구,2024,55337,69312,0.7983754616805171
129,경기도 수원시 장안구,2022,34313,79812,0.42992281862376586
130,경기도 수원시 장안구,2023,33945,85052,0.3991087805107464
131,경기도 수원시 장안구,2024,34677,90894,0.38151033071489865
132,경기도 수원시 팔달구,2022,29043,59874,0.4850686441527207
133,경기도 수원시 팔달구,2023,29707,63652,0.4667096084961981
134,경기도 수원시 팔달구,2024,29226,66706,0.438131502413576
135,경기도 시흥시,2022,65194,109100,0.5975618698441797
136,경기도 시흥시,2023,64368,119042,0.5407167218292703
137,경기도 시흥시,2024,62618,129796,0.48243397331196647
138,경기도 안산시,2022,84433,162008,0.5211656214507926
139,경기도 안산시,2023,80831,173850,0.46494679321253957
140,경기도 안산시,2024,78174,187550,0.41681684884030923
141,경기도 안산시 단원구,2022,39197,72852,0.5380360182287377
142,경기도 안산시 단원구,2023,38312,78792,0.48624225809726873
143,경기도 안산시 단원구,2024,37899,85652,0.442476532947275
144,경기도 안산시 상록구,2022,45236,89156,0.5073803221319934
145,경기도 안산시 상록구,2023,42519,95058,0.44729533547939154
146,경기도 안산시 상록구,2024,40275,101898,0.39524818936583644
147,경기도 안성시,2022,19879,72302,0.27494398495200684
148,경기도 안성시,2023,19466,76132,0.25568749014868913
149,경기도 안성시,2024,20089,81410,0.24676329689227366
150,경기도 안양시,2022,72599,168000,0.43213690476190475
151,경기도 안양시,2023,70573,179218,0.39378299054782445
152,경기도 안양시,2024,72186,193988,0.37211580097738006
153,경기도 안양시 동안구,2022,41992,84544,0.4966881150643452
154,경기도 안양시 동안구,2023,41277,90950,0.4538427707531611
155,경기도 안양시 동안구,2024,43161,99418,0.43413667545112555
156,경기도 안양시 만안구,2022,30607,83456,0.366744152607362
157,경기도 안양시 만안구,2023,29296,88268,0.33189830969320705
158,경기도 안양시 만안구,2024,29025,94570,0.3069155123189172
159,경기도 안중출장소,2022,0,0,
160,경기도 안중출장소,2023,0,0,
161,경기도 안중출장소,2024,0,0,
162,경기도 양주시,2022,26566,83410,0.3184989809375375
163,경기도 양주시,2023,30274,91966,0.3291868734097384
164,경기도 양주시,2024,33697,100830,0.3341961717742735
165,경기도 양평군,2022,9451,68158,0.13866310631180492
166,경기도 양평군,2023,9445,73348,0.1287697006053335
167,경기도 양평군,2024,9266,78358,0.11825212486280916
168,경기도 여주시,2022,10374,54400,0.1906985294117647
169,경기도 여주시,2023,10353,57638,0.17962108331309207
170,경기도 여주시,2024,10112,60922,0.16598273201799021
171,경기도 연천군,2022,3366,24540,0.1371638141809291
172,경기도 연천군,2023,3261,25670,0.12703544994156604
173,경기도 연천군,2024,3120,26754,0.11661807580174927
174,경기도 오산시,2022,29639,50318,0.5890337453793871
175,경기도 오산시,2023,28581,53792,0.5313243604997026
176,경기도 오산시,2024,30183,59040,0.511229674796748
177,경기도 용인시,2022,131945,312746,0.4218918867067844
178,경기도 용인시,2023,128869,329740,0.39082004003154003
179,경기도 용인시,2024,129161,349438,0.3696249406189367
180,경기도 용인시 기흥구,2022,53751,124608,0.4313607473035439
181,경기도 용인시 기흥구,2023,52341,131654,0.3975648290215261
182,경기도 용인시 기흥구,2024,51722,139352,0.3711608014237327
183,경기도 용인시 수지구,2022,48082,104794,0.4588239784720499
184,경기도 용인시 수지구,2023,47074,109126,0.4313729083811374
185,경기도 용인시 수지구,2024,46366,113542,0.40835990206267286
186,경기도 용인시 처인구,2022,30112,83344,0.3612977538875024
187,경기도 용인시 처인구,2023,29454,88960,0.33109262589928057
188,경기도 용인시 처인구,2024,31073,96544,0.3218532482598608
189,경기도 의왕시,2022,20829,49684,0.41922953063360435
190,경기도 의왕시,2023,20513,52714,0.38913761050195395
191,경기도 의왕시,2024,19572,55696,0.35140764148233267
192,경기도 의정부시,2022,60099,154422,0.38918677390527256
193,경기도 의정부시,2023,58840,163518,0.3598380606416419
194,경기도 의정부시,2024,57176,173372,0.32978797037583923
195,경기도 이천시,2022,26658,69332,0.38449777880343855
196,경기도 이천시,2023,25913,73630,0.351935352437865
197,경기도 이천시,2024,25394,78402,0.3238947986020765
198,경기도 파주시,2022,60054,146486,0.4099640921316713
199,경기도 파주시,2023,58824,155850,0.3774398460057748
200,경기도 파주시,2024,59875,166426,0.3597695071683511
201,경기도 평택시,2022,73133,146046,0.5007531873519302
202,경기도 평택시,2023,73807,154796,0.47680172614279437
203,경기도 평택시,2024,74276,164710,0.4509501548175581
204,경기도 포천시,2022,13495,65538,0.2059110744911349
205,경기도 포천시,2023,12854,69538,0.18484857200379648
206,경기도 포천시,2024,12357,74288,0.16633911264268791
207,경기도 풍양출장소,2022,0,0,
208,경기도 풍양출장소,2023,0,0,
209,경기도 풍양출장소,2024,0,0,
210,경기도 하남시,2022,44642,88866,0.5023518556028177
211,경기도 하남시,2023,44011,94778,0.4643588174470869
212,경기도 하남시,2024,42920,101046,0.4247570413475051
213,경기도 화성시,2022,120851,178100,0.6785569904548007
214,경기도 화성시,2023,124005,194092,0.638898048348206
215,경기도 화성시,2024,126405,210756,0.5997694015828731
216,경기도 화성시동부출장소,2022,0,0,
217,경기도 화성시동부출장소,2023,0,0,
218,경기도 화성시동부출장소,2024,0,0,
219,경기도 화성시동탄출장소,2022,0,0,
220,경기도 화성시동탄출장소,2023,0,0,
221,경기도 화성시동탄출장소,2024,0,0,
222,경상남도,2022,320677,1274700,0.2515705656232839
223,경상남도,2023,305563,1336360,0.2286532072196115
224,경상남도,2024,293940,1405738,0.20910013103437483
225,경상남도 거제시,2022,23068,62340,0.3700352903432788
226,경상남도 거제시,2023,21129,67110,0.3148413053196245
227,경상남도 거제시,2024,19773,72430,0.2729946154908187
228,경상남도 거창군,2022,4362,35998,0.12117339852214012
229,경상남도 거창군,2023,4181,37000,0.113
230,경상남도 거창군,2024,4038,38290,0.1054583442151998
231,경상남도 고성군,2022,2914,34026,0.08564039264092164
232,경상남도 고성군,2023,2642,34944,0.07560668498168498
233,경상남도 고성군,2024,2331,35654,0.065378358669434
234,경상남도 김해시,2022,59088,140126,0.42167763298745414
235,경상남도 김해시,2023,57132,149348,0.3825427859763773
236,경상남도 김해시,2024,55333,160306,0.3451711102516437
237,경상남도 남해군,2022,2125,33372,0.06367613568260817
238,경상남도 남해군,2023,1967,33728,0.05831949715370019
239,경상남도 남해군,2024,1753,34044,0.05149218658207026
240,경상남도 밀양시,2022,7108,64776,0.10973199950598987
241,경상남도 밀양시,2023,6784,67390,0.10066775485977147
242,경상남도 밀양시,2024,6359,69908,0.09096240773588145
243,경상남도 사천남양출장소,2022,0,0,
244,경상남도 사천남양출장소,2023,0,0,
245,경상남도 사천남양출장소,2024,0,0,
246,경상남도 사천시,2022,8674,52592,0.1649300273805902
247,경상남도 사천시,2023,8400,54146,0.15513611347098585
248,경상남도 사천시,2024,8062,56056,0.1438204652490367
249,경상남도 산청군,2022,1702,27000,0.06303703703703703
250,경상남도 산청군,2023,1607,27658,0.05810253814447899
251,경상남도 산청군,2024,1533,28244,0.05427701458716896
252,경상남도 양산시,2022,38775,111152,0.34884662444220527
253,경상남도 양산시,2023,37593,119078,0.31570063319840774
254,경상남도 양산시,2024,37035,127986,0.28936758707983684
255,경상남도 양산시웅상출장소,2022,0,0,
256,경상남도 양산시웅상출장소,2023,0,0,
257,경상남도 양산시웅상출장소,2024,0,0,
258,경상남도 의령군,2022,1396,20608,0.06774068322981366
259,경상남도 의령군,2023,1290,20938,0.061610469003725285
260,경상남도 의령군,2024,1220,21286,0.05731466691722259
261,경상남도 장유출장소,2022,0,0,
262,경상남도 장유출장소,2023,0,0,
263,경상남도 장유출장소,2024,0,0,
264,경상남도 진주시,2022,38097,128430,0.2966362999299229
265,경상남도 진주시,2023,36911,134354,0.2747294460901797
266,경상남도 진주시,2024,36115,140180,0.2576330432301327
267,경상남도 창녕군,2022,3454,40272,0.08576678585617799
268,경상남도 창녕군,2023,3073,41234,0.07452587670369112
269,경상남도 창녕군,2024,2811,42730,0.06578516264919261
270,경상남도 창원시,2022,109789,339320,0.3235559354002122
271,경상남도 창원시,2023,104271,359502,0.290042892668191
272,경상남도 창원시,2024,100400,382990,0.2621478367581399
273,경상남도 창원시 마산합포구,2022,17567,83296,0.21089848252016904
274,경상남도 창원시 마산합포구,2023,16845,87146,0.19329630734629244
275,경상남도 창원시 마산합포구,2024,16202,91706,0.1766732820099012
276,경상남도 창원시 마산회원구,2022,17704,74728,0.23691253613103522
277,경상남도 창원시 마산회원구,2023,16628,78322,0.21230305661244606
278,경상남도 창원시 마산회원구,2024,16202,82702,0.19590820052719402
279,경상남도 창원시 성산구,2022,30752,52620,0.5844165716457621
280,경상남도 창원시 성산구,2023,29466,57430,0.5130767891345986
281,경상남도 창원시 성산구,2024,28686,63526,0.4515631395019362
282,경상남도 창원시 의창구,2022,24027,66482,0.36140609488282543
283,경상남도 창원시 의창구,2023,22813,71112,0.32080380245246937
284,경상남도 창원시 의창구,2024,21681,76152,0.2847069019855027
285,경상남도 창원시 진해구,2022,19739,62194,0.3173778821108145
286,경상남도 창원시 진해구,2023,18519,65492,0.2827673608990411
287,경상남도 창원시 진해구,2024,17629,68904,0.25584871705561363
288,경상남도 통영시,2022,9656,54968,0.17566584194440402
289,경상남도 통영시,2023,8940,57490,0.15550530527048181
290,경상남도 통영시,2024,8342,60402,0.13810800966855402
291,경상남도 하동군,2022,2156,32184,0.06698980860054686
292,경상남도 하동군,2023,2023,32962,0.061373703051999275
293,경상남도 하동군,2024,1835,33554,0.05468796566728259
294,경상남도 함안군,2022,4095,34690,0.11804554626693571
295,경상남도 함안군,2023,3725,35858,0.10388197891683865
296,경상남도 함안군,2024,3423,37060,0.09236373448461954
297,경상남도 함양군,2022,2203,27496,0.08012074483561245
298,경상남도 함양군,2023,2046,27952,0.07319690898683458
299,경상남도 함양군,2024,1837,28392,0.06470132431670893
300,경상남도 합천군,2022,2015,35350,0.057001414427157004
301,경상남도 합천군,2023,1849,35668,0.051839183581922174
302,경상남도 합천군,2024,1740,36226,0.04803180036437917
303,경상북도,2022,235927,1234434,0.19112159904863282
304,경상북도,2023,224020,1258882,0.17795154748419628
305,경상북도,2024,215592,1316364,0.16377840779601996
306,경상북도 경산시,2022,30774,99222,0.3101529902642559
307,경상북도 경산시,2023,29747,103704,0.2868452518707089
308,경상북도 경산시,2024,29700,109920,0.2701965065502183
309,경상북도 경주시,2022,21408,123502,0.17334132240773428
310,경상북도 경주시,2023,20573,128374,0.16025830775702246
311,경상북도 경주시,2024,19639,134248,0.14628895774983613
312,경상북도 고령군,2022,1800,20970,0.08583690987124463
313,경상북도 고령군,2023,1688,21700,0.07778801843317973
314,경상북도 고령군,2024,1634,22756,0.07180523817894181
315,경상북도 구미시,2022,50335,90312,0.5573456462042696
316,경상북도 구미시,2023,47813,96430,0.495831172871513
317,경상북도 구미시,2024,45997,105310,0.436777134175292
318,경상북도 군위군,2022,1078,20116,0.05358918274010738
319,경상북도 김천시,2022,12456,69478,0.17927977201416276
320,경상북도 김천시,2023,11772,71542,0.16454669984065304
321,경상북도 김천시,2024,11166,74730,0.14941790445604175
322,경상북도 문경시,2022,5040,45634,0.11044396721742561
323,경상북도 문경시,2023,4705,46680,0.10079263067694945
324,경상북도 문경시,2024,4301,48080,0.08945507487520798
325,경상북도 봉화군,2022,1367,23894,0.05721101531765297
326,경상북도 봉화군,2023,1263,24402,0.05175805261863781
327,경상북도 봉화군,2024,1128,25076,0.04498325091721168
